0.000000,0.070000,0.000000,-0.070000,-0.002657,-0.001031,0.000000,0.140000,0.070000,-0.001031,-0.007364
0.000000,0.070000,0.000000,-0.070000,-0.002502,-0.001014,0.000000,0.140000,0.070000,-0.001014,-0.007240
0.000000,0.070000,0.000000,-0.070000,-0.002342,-0.000996,0.000000,0.140000,0.070000,-0.000996,-0.007112
0.000000,0.070000,0.000000,-0.070000,-0.002178,-0.000977,0.000000,0.140000,0.070000,-0.000977,-0.006979
0.000000,0.070000,0.000000,-0.070000,-0.002011,-0.000958,0.000000,0.140000,0.070000,-0.000958,-0.006841
0.000000,0.070000,0.000000,-0.070000,-0.001842,-0.000938,0.000000,0.140000,0.070000,-0.000938,-0.006700
0.000000,0.070000,0.000000,-0.070000,-0.001672,-0.000918,0.000000,0.140000,0.070000,-0.000918,-0.006554
0.000000,0.070000,0.000000,-0.070000,-0.001515,-0.000906,0.000000,0.140000,0.070000,-0.000906,-0.006470
0.000000,0.070000,0.000000,-0.070000,-0.001404,-0.000902,0.000000,0.140000,0.070000,-0.000902,-0.006443
0.000000,0.070000,0.000000,-0.070000,-0.001336,-0.000893,0.000000,0.140000,0.070000,-0.000893,-0.006380
0.000000,0.070000,0.000000,-0.070000,-0.001292,-0.000877,0.000000,0.140000,0.070000,-0.000877,-0.006261
0.000000,0.070000,0.000000,-0.070000,-0.001261,-0.000857,0.000000,0.140000,0.070000,-0.000857,-0.006118
0.000000,0.070000,0.000000,-0.070000,-0.001237,-0.000834,0.000000,0.140000,0.070000,-0.000834,-0.005958
